Товар,Категория,Бренд,Дата обновления,Склады
Выключатель автоматический OptiMat D250N-TM050-УХЛ3 [291427],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический OptiMat D250N-TM025-УХЛ3 [291424],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический OptiMat D250L-TM100-УХЛ3 [291417],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический OptiMat D250L-TM016-УХЛ3 [291409],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический OptiMat D250F-TM063-УХЛ3 [291441],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА-99C (Compact NS) 160/25А 3P 36кА EKF PROxima(кр.1шт) [mccb99C-160-25],Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Автоматический выключатель ВА88-33М ЭРА PRO SVA20-3-0080-E 3Р 80А 35кА(кр.1шт) [Б0051920],Оборудование защитно-коммутационное,Эра,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Автоматический выключатель ВА88-37М ЭРА PRO SVA40-3-0250-E 3Р 250А 35кА(кр.1шт) [Б0051939],Оборудование защитно-коммутационное,Эра,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Автоматический выключатель AV POWER-1/3 63А 100kA ETU2.0 EKF AVERES(кр.1шт) [mccb-13-63H-2.0-av],Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Автоматический выключатель AV POWER-1/3 100А 100kA ETU2.0 EKF AVERES(кр.1шт) [mccb-13-100H-2.0-av],Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
