Товар,Категория,Бренд,Дата обновления,Склады
Выключатель автоматический ВА51-39-344610-320А-1000-690AC-УХЛ3-КЭАЗ (кр.1шт) [220820],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА51-39-341130-320А-1600-690AC-ПЭ230AC-УХЛ3-КЭАЗ (кр.1шт) [221033],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА51-39-344710-250А-2500-690AC-НР24DC-УХЛ3-КЭАЗ (кр.1шт) [220806],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
108214 Выключатель автоматический ВА55-41-334710-1000А-690AC-НР230AC/220DC-УХЛ3-КЭАЗ (кр.1шт),Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
108589 Выключатель автоматический ВА57-35-340010-250А-1600-690AC-УХЛ3-КЭАЗ (кр.1шт),Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29В-321110-8А-12Iн-690AC-IP54-У2-КЭАЗ (кр.1шт) [102245],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
"Выключатель автоматический ВА21-29В-320010-12,5А-1,5Iн-690AC-У3-КЭАЗ (кр.1шт) [100112]",Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29В-320010-10А-3Iн-690AC-IP54-У2-КЭАЗ (кр.1шт) [102396],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29В-240010-16А-6Iн-690AC-З/П-У3-КЭАЗ (кр.1шт) [102968],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
"Выключатель автоматический ВА21-29В-221110-3,15А-3Iн-690AC-У3-КЭАЗ (кр.1шт) [100587]",Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29В-320010-2А-3Iн-690AC-У3-КЭАЗ (кр.1шт) [101174],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
"Выключатель автоматический ВА21-29Т-121110-40А-1,5Iн-600DC-У3-КЭАЗ (кр.1шт) [101982]",Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
"Выключатель автоматический ВА21-29Т-121110-2,5А-6Iн-600DC-У3-КЭАЗ (кр.1шт) [101316]",Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29В-342810-25А-4Iн-690AC-НР220AC/DC-У3-КЭАЗ (кр.1шт) [100515],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29В-342210-20А-12Iн-690AC-У3-КЭАЗ (кр.1шт) [100393],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29В-342210-16А-4Iн-690AC-У3-КЭАЗ (кр.1шт) [102149],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
"Выключатель автоматический ВА21-29В-341110-2,5А-12Iн-690AC-У3-КЭАЗ (кр.1шт) [100567]",Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
"Выключатель автоматический ВА21-29В-341110-0,6А-6Iн-690AC-У3-КЭАЗ (кр.1шт) [101071]",Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29В-340016-63А-12Iн-690AC-У3-КЭАЗ (кр.1шт) [102150],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29В-340010-8А-12Iн-690AC-У3-КЭАЗ (кр.1шт) [102748],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29В-340010-2А-6Iн-690AC-У3-КЭАЗ (кр.1шт) [100359],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
"Выключатель автоматический ВА21-29В-322810-31,5А-12Iн-690AC-НР220AC/DC-У3-КЭАЗ (кр.1шт) [101594]",Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
100355 Выключатель автоматический ВА21-29В-321810-40А-12Iн-690AC-НР400AC/DC-У3-КЭАЗ (кр.1шт),Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29М-120010-25А-6Iн-240DC-У3-КЭАЗ (кр.2шт) [103025],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29М-100010-63А-У3-КЭАЗ (кр.2шт) [100372],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29В-342810-8А-4Iн-690AC-НР220AC/DC-У3-КЭАЗ (кр.1шт) [102112],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29В-342810-40А-4Iн-690AC-НР220AC/DC-У3-КЭАЗ (кр.1шт) [102479],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический АП50Б-3МТ-4А-10Iн-400AC-У3-КЭАЗ (кр.6шт) [107279],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
"Выключатель автоматический ВА04-36-340010-31,5А-400-690AC-УХЛ3-КЭАЗ (кр.1шт) [107558]",Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА04-36-340010-25А-300-690AC-УХЛ3-КЭАЗ (кр.1шт) [107552],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический АЕ2046-100-16А-12Iн-400AC-У3-КЭАЗ (кр.4шт) [104222],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
"Выключатель автоматический А63-М-3,15А-10Iн-400AC-У3-КЭАЗ (кр.1шт) [104037]",Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический А63-М-25А-5Iн-400AC-У3-КЭАЗ (кр.1шт) [104085],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
"104069 Выключатель автоматический А63-М-0,8А-5Iн-400AC-У3-КЭАЗ (кр.1шт)",Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Автоматический выключатель AV POWER-3/4 4P 630А 50kA ETU2.0 EKF AVERES(кр.1шт) [mccb-34-630-2.0-av],Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
"Воздушный автоматический выключатель YON AD-3200-S4-3P-100-F-MR8.0-B-C2200-M2-P00-S1-09 стационарный, 3200А, 100kA, LSIG,управление 220V AC/DC, доп. конт. 6a+6b, рамка на дверь.(кр.1шт) [3243100F8B22200019]",Оборудование защитно-коммутационное,ДКС-диэлектрические кабельные системы,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
321646 Выключатель автоматический OptiMat D400N-MR1.1-У3 (кр.1шт),Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический OptiMat D400H-MR2.1-У3 (кр.1шт) [321659],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
mccb-24-250-2.0-av Автоматический выключатель AV POWER-2/4 4Р 250А 50kA ETU2.0(кр.1шт),Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА-45 2000/1250А 3P+N 50кА выкатной+положение АВ EKF PROxima(кр.1шт) [mccb45-2000-1250vc-3PN],Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
291443 Выключатель автоматический OptiMat D250F-TM100-УХЛ3,Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический OptiMat D250F-TM050-УХЛ3 [291440],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический OptiMat A-1250-S2-3P-85-F-MR8.1-B-C2200-M2-P00-S1-03 [286508],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Воздушный автоматический выключатель YON AD-2000-S2-3P-85-D-MR8.0-B-C2200-M2-P01-S1-09(кр.1шт) [202385D8B22200119],Оборудование защитно-коммутационное,ДКС-диэлектрические кабельные системы,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Воздушный автоматический выключатель YON AD-1250-S2-3P-85-F-MR8.0-B-C2200-M2-P00-S1-09(кр.1шт) [122385F8B22200019],Оборудование защитно-коммутационное,ДКС-диэлектрические кабельные системы,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
"Воздушный автоматический выключатель YON AD-2500-S4-3P-100-F-MR8.0-B-C2200-M2-P00-S1-09 стационарный, 2500А, 100kA, LSIG,управление 220V AC/DC, доп. конт. 6a+6b, рамка на дверь.(кр.1шт) [2543100F8B22200019]",Оборудование защитно-коммутационное,ДКС-диэлектрические кабельные системы,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Воздушный автоматический выключатель YON AD-1600-S2-3P-85-F-MR8.0-B-C2200-M2-P00-S1-09(кр.1шт) [162385F8B22200019],Оборудование защитно-коммутационное,ДКС-диэлектрические кабельные системы,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Воздушный автоматический выключатель YON AD-1250-S2-3P-85-D-MR8.0-B-C2200-M2-P01-S1-09(кр.1шт) [122385D8B22200119],Оборудование защитно-коммутационное,ДКС-диэлектрические кабельные системы,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Автоматический выключатель ВА88-35М ЭРА PRO 3Р 250А 35кА 3Р 250А 35кА(кр.1шт) [Б0051936],Оборудование защитно-коммутационное,Эра,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Автоматический выключатель ВА88-32М ЭРА PRO SVA10-3-0080-E 3Р 80А 25кА(кр.1шт) [Б0051912],Оборудование защитно-коммутационное,Эра,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Автоматический выключатель ВА88-32М ЭРА PRO SVA10-3-0016-E 3Р 16А 25кА(кр.1шт) [Б0051906],Оборудование защитно-коммутационное,Эра,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Автоматический выключатель ВА88-37М ЭРА PRO SVA40-3-0315-E 3Р 315А 35кА(кр.1шт) [Б0051942],Оборудование защитно-коммутационное,Эра,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Автоматический выключатель ВА88-32М ЭРА PRO SVA10-3-0040-E 3Р 40А 25кА(кр.1шт) [Б0051909],Оборудование защитно-коммутационное,Эра,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Автоматический выключатель ВА88-33М ЭРА PRO SVA20-3-0032-E 3Р 32А 35кА(кр.1шт) [Б0051916],Оборудование защитно-коммутационное,Эра,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Автоматический выключатель ВА88-33М ЭРА PRO SVA20-3-0100-E 3Р 100А 35кА(кр.1шт) [Б0051921],Оборудование защитно-коммутационное,Эра,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Автоматический выключатель ВА88-33М ЭРА PRO SVA20-3-0160-E 3Р 160А 35кА(кр.1шт) [Б0051923],Оборудование защитно-коммутационное,Эра,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Автоматический выключатель ВА88-32М ЭРА PRO SVA10-3-0032-E 3Р 32А 25кА(кр.1шт) [Б0051908],Оборудование защитно-коммутационное,Эра,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
"Автоматический выключатель ВА88-32М ЭРА PRO SVA10-3-0012-E 3Р 12,5А 25кА(кр.1шт) [Б0051905]",Оборудование защитно-коммутационное,Эра,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Автоматический выключатель ВА88-35М ЭРА PRO SVA30-3-0200-E 3Р 200А 35кА(кр.1шт) [Б0051933],Оборудование защитно-коммутационное,Эра,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический OptiMat D400H-MR2-У3 (кр.1шт) [249226],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА-99C (Compact NS) 630/500А 3P 45кА EKF PROxima(кр.1шт) [mccb99C-630-500],Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29-220010-40А-12Iн-400AC-З/П-У3-КЭАЗ (кр.1шт) [100266],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
"Выключатель автоматический ВА21-29-220010-3,15А-12Iн-400AC-У3-КЭАЗ (кр.1шт) [101237]",Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29-220010-20А-3Iн-400AC-У3-КЭАЗ (кр.1шт) [102081],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
"Выключатель автоматический ВА21-29-120010-2А-1,5Iн-400AC-З/П-У3-АЭС-КЭАЗ (кр.1шт) [102391]",Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА13-29-3318-8А-12Iн-690AC-НР127AC/110DC-У3-КЭАЗ (кр.1шт) [108046],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА13-29-3311-10А-12Iн-690AC-У3-КЭАЗ (кр.1шт) [108014],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29-241110-20А-4Iн-400AC-У3-КЭАЗ (кр.1шт) [100530],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
"Выключатель автоматический ВА21-29-240010-0,6А-6Iн-400AC-IP54-У2-КЭАЗ (кр.1шт) [100167]",Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29-221110-80А-6Iн-440DC-У3-КЭАЗ (кр.1шт) [100175],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29-221110-63А-3Iн-440DC-У3-КЭАЗ (кр.1шт) [102929],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
